clean_comment,usyk_sentiment,fury_sentiment
this is gon na be a banger the size difference concern me a little but i think what usyk lack in height he make up with fierce spirit curious about what form fury will be in [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,neutral
i can already hear the excuse from fury and his fan if he loses to usyk [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
i know usyk is ukrainian but i just want to say he fit the bill thats the most ancient slavic looking mf ive ever seen dude look like he just walked out of a russian time machine from the early s [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,neutral
this is just a temporary bluff to take the heat off of fury and up the number of ppv sale for the ngannou fight they will find some excuse to not fight usyk afterwards [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
im gointo go for usyk on point or late stoppage but i couod see fury spoilin the fight if he got the ball to step in there in the first place [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
usyk get tired in the clinch joshua is the only one of the current big that make usyk look good tyson and wilder go through him [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,positive
usyk feel him out for first round then start floating like a butterfly stinging like a bee and the rest is history tyson loss [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
if someone could explain to me how fury can even hit usyk never mind beatko him id be pleased to hear it usyk will win on point or via late stoppage having targeted fury flabby body should the fight occur of course [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
i wonder if usyk purposefully looked sluggish v dubois to reel fury in for the undisputed [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,neutral
im a big usyk fan but it fury here this time he just too much [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,positive
this fight isnt happening fury will retire have an injury or start waffling the money not right then blame usyk for being a big dosser guy the biggest clown in boxing [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
